rank,entry,player_name,entry_name,total
100,4336532,Dylan Rowe,Pablo Marescabar,2392
103,2172826,Stian Jansson,Bar Beach,2392
104,1110233,Dave Watkeys,Darwin's Theory,2391
105,926232,pharkphum rakruam,Flying Parker,2391
105,1875191,abdelilah benallal,Abdo fc �,2391
105,4886117,Lennon D'Souza,The Treble Winners,2391
105,5340266,Jack Marshall,Reijnders Keepers,2391
109,58887,Ollie Pearce,palmer calcio,2391
109,347953,Steve Barrett,The August Wildcards,2391
111,99126,Alan Chaplin,SLOTH CHINLAP,2391
111,135052,Jonas Loh,Haaland Be Thy Name,2391
111,1427619,Ryan Murray,Tropical FPL - Ryan,2391
114,81712,Magnus Williams,WINNING!,2391
115,538974,Paul Hamilton,Tonga,2390
116,3608565,Sam Jinadu,AFC Jinny,2390
117,3949909,Tvrtko Bilić,aaaa,2390
117,4023040,Giuseppe D-Amore,Rubber Digne Rapids,2390
119,7802018,Graham Pleavin,Shoegazer,2390
120,793178,Luigi Limjap,Cunha Lingus,2390
121,5234028,Jo Ragnar Tremoen,Spartak Heimdal,2389
122,4832,Filip Kowalski,Sparta Łężyca,2389
122,160674,Terry Chapman,No Stags FC,2389
124,462696,jimmy davies,FreeMykhailo,2389
124,3722198,Natalie Pike,The Pike is Right,2389
124,3912338,Luke O'sullivan,SullyXI,2389
124,5820310,Ivelin Yonchev,Хасково Гумени Печки,2389
124,9476966,Henriette Hansen,henri,2389
129,1915681,Jon Page,"Lads, its Tottenham",2389
130,100981,J Dhillon,Kg Chubadak FC,2388
130,675018,Alex Le Brun,ALB's Allstars,2388
130,766701,rafa vale,DJ8CR8,2388
133,49978,Benjamin Mooney,Neville Wears Prada,2388
134,5015147,montasir saadouni,BLACKHORSE team,2388
135,1485726,Louis Collins,Got Mainoo Shoes On,2387
136,306124,Milosz Dudzinski,eveve,2387
136,430721,Matt Banner,Tbc,2387
136,2636416,Jamie Foster,2026,2387
136,2872084,Kristin Myhre,Kinder Mbeumo,2387
136,5304684,Milovan Vukicevic,Doktori fudbala,2387
141,19811,Adrian Clark,To be Frank,2387
141,29514,James Beech,Pukki Blinders,2387
141,7612855,Jorge Mendoza,Change Name,2387
144,18883,Jonas Aksel Myrer,Bobby Monas Firfisle,2386
144,873815,Mark Auto,Kapiizzz,2386
146,1053398,Dylan Draper,Chansiri Out,2386
147,4809661,michael tragitt,tragtastic,2386
148,753050,Aldo Kacorri,Kanun of Arsenal,2386
148,1627041,Anton Berglund,Borsökna FC,2386
150,25693,Mootez Taleb,Sir Hansi Flick,2386
151,567688,George McNicholas,g7412877,2386
152,7849328,Alex Iliev,Major League Saka,2385
153,21898,Kjetil Hangeland Løining,FC Bordalen,2385
153,1991600,Mohamed Hesham,CurvaETCHO,2385
153,3466874,Jordan Corbin,Boehly Grail,2385
156,733298,Markus Dahlberg,Darwin <3,2385
157,5975748,Philip Bratt,BK Brackl,2385
158,420804,Jordan Allan,Shrewdy Völler,2385
159,362952,Ross Macpherson,Castolo XI,2384
160,6317,Will Watson,Watson's Wanderers,2384
160,11727,Abudulah Samura,Comeback is On,2384
160,484266,Lauri Kurru,Murrupallo,2384
160,601350,Ted Gondwe,Crème de la crème,2384
160,5183778,Charles Knight,CVGK XI,2384
160,7790606,Mohammed Abdulraheem,Hamoody,2384
166,1314154,Erik Voster Solberg,Benteke,2384
167,5202777,J Brix,MYTEAMWEARSCLARKS,2384
168,2273579,Harry Archer,Kinder Mbeumo,2383
169,7694187,Lisa Tooley,Beefy Space Raiders,2383
170,7714197,Osato Happiness,Ballerz,2383
171,6265926,Jack Patterson,Schar Wars,2383
172,3162120,harrison georgiou,Kiss My Ex,2383
172,4469289,michael jewell,Diamondos,2383
174,5558475,Rory Gibney,WingardiumLevioSarr,2383
175,117597,Remon George,Remoo,2383
176,4933870,Dilip Gengatharan,Gengar FC,2382
177,3066821,Best Sengsomwongs,Advancemaker,2382
178,1348302,Chukwuemeka Nwaokocha,Sesko de Mayo,2382
179,20499,Þorgeir finnbogason,Odds on FC,2382
179,95170,brandon stainton,Goated,2382
179,1581232,Ahmed Crespo,охотник за привидени,2382
179,2618349,Nick Macneil,Nicks XI,2382
179,3704490,Rodney Johnston,Pittsburg United,2382
179,5376427,Tim O-Callaghan,magicians,2382
185,167385,Dawid Piotrowski,Rezerwat Balczewo,2382
185,2469835,Piotr Myszoglad,Gorole,2382
187,4713952,Agustín Marras,Manchester is red,2382
188,4526801,Abu Adam,Trophy Hunters,2382
189,3324034,joe hennighan,Pet shop Moyes,2381
190,1125909,Isaac Tipler,Cunha Believe It!?,2381
190,2191103,Jack Lee,Tinchy Sneijder,2381
192,87760,Ning N,天早灰蓝,2381
193,213179,Daniel Ukpong,Kloppenheimer,2381
194,1465334,Amr mahmoud,Dido 99,2381
195,5937436,adam clarence,Obi Wan Iwobi,2381
196,4821852,Arab Makinta,The Prey FC,2380
197,5512845,Sutas Nakphan,xMONDAY,2380
198,672089,Jamie Steele,Big Dogs,2380
198,2261780,Enoch Lam,diudiuw,2380
198,7010388,Chitwa Kamoto,Abana Gold,2380
198,8077152,Kelly Goh,Go Team Goh!,2380
202,257208,Achmad Nofrizal Ghufron,tempe all-right,2380
202,4566143,Tom Turner,Aston Vanilla,2380
202,5262291,Gösta Gustafsson,Rostafari FC,2380
202,7144606,Prince Gauchan,Loading...,2380
206,1569011,Zak Lynn,Nearly Wan De Yoro's,2380
207,6171681,Richy Moor,Richy,2380
208,2063557,Graham Allen,N5,2380
209,1350548,Hamzah Attique,Hamzah Bhi,2380
210,1182672,Dan Erik Rødder,Not second,2379
210,4061764,Hugo Ng,under my cucurella,2379
212,20370,Andrew Moore,Unsullied,2379
212,87888,Adam Horn,It’ll Bijol right,2379
214,19025,Ciaran Sundstrem,Fairdoos Otters,2379
214,57952,Andreas Myhrvold,Tippetassgutta,2379
214,319097,Jack Whaling,But I won on xG,2379
214,3224588,Liam Roche,Bukele's All Stars,2379
214,7351920,francesca cerone,Mrlzitt,2379
219,594006,Archie Ingram,Change Name,2379
220,5037596,Dan Thomas,Dangerous,2379
221,9307961,Taiwan No.1,Taiwa Can Help,2379
222,4009171,Jo Bratland,JoJo,2379
223,3824231,Blaise - 布莱斯,Shimalavandu FC,2378
224,876610,Cormac Smolinski,EZZZ DUBZZZ,2378
225,3240533,Oscar Hancock,I’m a Baleba,2378
226,5393751,Darko Kilibarda,Tobdzije,2378
227,7227539,Karol Kulesza,KULAsy,2378
227,7854573,Sanjay Lamsal,Sanjay L,2378
229,124224,Dylan Jones,Dylan s SuperSonics,2378
229,2093854,mohamed Saqadhi,mo.saqadhi,2378
229,2995475,Cathal Gillespie,Cunha Matata,2378
