element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
144,262,5,0,False,2026-02-21T15:00:00Z,0.0,2.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-135,6011,0,135,144,DEF,Diego Coppola,Brighton
169,262,5,10,False,2026-02-21T15:00:00Z,0.0,2.0,27,False,75,1,0,1,0,0,0,0,0,0,0,2,30,40.4,3.6,23.0,6.7,2,5,3,10,1,0.15,0.01,0.16,1.11,49,-121,20151,889,1010,169,MID,Diego Gómez Amarilla,Brighton
439,265,9,0,False,2026-02-23T20:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-42,7216,58,100,439,DEF,Diego León Blanco,Man Utd
734,267,12,1,True,2026-02-22T14:00:00Z,0.0,1.0,27,False,24,0,0,0,1,0,0,0,0,0,0,0,2,0.0,4.3,1.0,0.3,0,2,1,3,0,0.05,0.0,0.05,1.2,59,-42,2539,58,100,734,MID,Dilane Bakwa,Nott'm Forest
440,265,9,7,False,2026-02-23T20:00:00Z,0.0,1.0,27,False,90,0,0,1,0,0,0,0,0,0,0,1,31,24.0,13.3,24.0,6.1,8,7,1,9,1,0.03,0.09,0.12,0.62,45,6639,596303,35004,28365,440,DEF,Diogo Dalot Teixeira,Man Utd
739,266,15,0,True,2026-02-21T20:00:00Z,2.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-88,2520,0,88,739,MID,Divine Mukasa,Man City
573,269,1,0,True,2026-02-22T16:30:00Z,1.0,4.0,27,False,90,0,0,0,4,0,0,0,0,0,0,0,-20,3.4,17.5,6.0,2.7,3,3,2,5,1,0.0,0.35,0.35,2.07,42,-2286,126004,1497,3783,573,DEF,Djed Spence,Spurs
800,268,10,1,True,2026-02-22T14:00:00Z,1.0,3.0,27,False,38,0,0,0,0,0,0,0,0,0,0,0,4,3.4,4.3,2.0,1.0,0,2,1,3,1,0.0,0.04,0.04,0.24,50,10,103,24,14,800,MID,Djiamgone Jocelin Ta Bi,Sunderland
691,261,2,2,False,2026-02-21T15:00:00Z,1.0,1.0,27,False,90,0,0,0,1,0,0,0,0,0,0,0,9,19.4,32.8,44.0,9.6,3,3,1,7,1,0.38,0.04,0.42,1.46,58,-130459,1320462,48154,178613,691,FWD,Dominic Calvert-Lewin,Leeds
94,270,19,0,False,2026-02-21T17:30:00Z,0.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11,3903,0,11,94,MID,Dominic Sadi,Bournemouth
596,269,1,1,True,2026-02-22T16:30:00Z,1.0,4.0,27,False,28,0,0,0,1,0,0,0,0,0,0,0,6,5.2,1.1,0.0,0.6,1,1,2,4,0,0.0,0.01,0.01,0.26,72,-9594,166143,9842,19436,596,FWD,Dominic Solanke-Mitchell,Spurs
387,267,16,3,False,2026-02-22T14:00:00Z,0.0,1.0,27,False,90,0,0,1,0,0,0,0,0,0,0,0,23,27.2,66.2,2.0,9.5,2,4,2,8,1,0.0,0.35,0.35,1.19,67,191886,877796,219729,27843,387,MID,Dominik Szoboszlai,Liverpool
53,261,11,0,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-1510,54136,0,1510,53,MID,Donyell Malen,Aston Villa
699,261,11,2,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,86,0,0,0,1,0,0,0,0,0,0,0,22,19.0,32.3,0.0,5.1,1,5,4,10,1,0.0,0.19,0.19,1.35,49,1861,12541,2487,626,699,MID,Douglas Luiz Soares de Paulo,Aston Villa
300,265,14,0,True,2026-02-23T20:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-968,18806,176,1144,300,MID,Dwight McNeil,Everton
247,263,3,0,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,52,6797,234,182,247,MID,Dário Luís Essugo,Chelsea
266,269,18,14,False,2026-02-22T16:30:00Z,1.0,4.0,27,False,76,2,0,0,1,0,0,0,0,0,0,2,47,70.6,29.2,46.0,14.6,1,5,0,6,1,0.68,0.29,0.97,0.35,72,-23273,987965,4395,27668,266,MID,Eberechi Eze,Arsenal
284,264,20,0,True,2026-02-22T14:00:00Z,1.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-974,39201,62,1036,284,FWD,Eddie Nketiah,Crystal Palace
399,266,15,0,True,2026-02-21T20:00:00Z,2.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-288,104848,0,288,399,GKP,Ederson Santana de Moraes,Man City
616,270,4,0,True,2026-02-21T17:30:00Z,0.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-11,5989,0,11,616,MID,Edson Álvarez Velázquez,West Ham
154,262,5,0,False,2026-02-21T15:00:00Z,0.0,2.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,596,0,0,154,DEF,Eiran Cashin,Brighton
561,268,10,1,True,2026-02-22T14:00:00Z,1.0,3.0,27,False,20,0,0,0,1,0,0,0,0,0,0,0,1,6.0,10.3,15.0,3.1,0,0,1,1,0,0.09,0.06,0.15,0.43,52,-402,65181,387,789,561,FWD,Eliezer Mayenda Dossou,Sunderland
705,265,14,0,True,2026-02-23T20:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-468,20557,0,468,705,DEF,Elijah Campbell,Everton
102,262,6,0,True,2026-02-21T15:00:00Z,0.0,2.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,15,33674,328,313,102,GKP,Ellery Balcombe,Brentford
517,267,12,5,True,2026-02-22T14:00:00Z,0.0,1.0,27,False,76,0,0,1,0,0,0,0,0,0,0,0,23,19.8,35.3,9.0,6.4,3,12,4,19,1,0.1,0.04,0.14,0.53,54,11743,770680,51764,40021,517,MID,Elliot Anderson,Nott'm Forest
433,265,9,0,False,2026-02-23T20:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1,201,0,1,433,GKP,Elyh Harrison,Man Utd
603,270,4,9,True,2026-02-21T17:30:00Z,0.0,0.0,27,False,90,0,0,1,0,0,0,0,0,0,0,1,32,29.0,15.8,2.0,4.7,7,7,3,10,1,0.0,0.34,0.34,0.65,40,19060,209566,22344,3284,603,DEF,El Hadji Malick Diouf,West Ham
604,270,4,0,True,2026-02-21T17:30:00Z,0.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-21,6596,0,21,604,DEF,Emerson Palmieri dos Santos,West Ham
325,268,17,2,False,2026-02-22T14:00:00Z,1.0,3.0,27,False,87,0,0,0,1,0,0,0,0,0,0,0,9,9.4,12.5,0.0,2.2,1,4,3,8,1,0.0,0.03,0.03,1.72,56,-1959,70852,1232,3191,325,MID,Emile Smith Rowe,Fulham
50,261,11,1,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,74,0,0,0,1,0,0,0,1,0,0,0,-1,0.0,2.8,5.0,0.0,0,3,0,3,1,0.14,0.03,0.17,1.07,53,2548,71992,9141,6593,50,MID,Emiliano Buendía Stati,Aston Villa
32,261,11,3,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,90,0,0,0,1,0,0,0,0,0,3,0,13,26.0,0.0,0.0,2.6,1,3,0,0,1,0.0,0.0,0.0,1.35,50,113822,601401,122515,8693,32,GKP,Emiliano Martínez Romero,Aston Villa
479,266,13,0,False,2026-02-21T20:00:00Z,2.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-38,4773,13,51,479,DEF,Emil Krafth,Newcastle
631,264,8,0,False,2026-02-22T14:00:00Z,1.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-284,15085,0,284,631,DEF,Emmanuel Agbadou,Wolves
392,267,16,0,False,2026-02-22T14:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-175,11090,56,231,392,MID,Endo Wataru,Liverpool
98,270,19,1,False,2026-02-21T17:30:00Z,0.0,0.0,27,False,1,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.1,0.0,0.2,1,0,0,1,0,0.0,0.0,0.0,0.1,54,173,5898,571,398,98,FWD,Enes Ünal,Bournemouth
203,263,7,0,False,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,38,6021,149,111,203,MID,Enock Agyei,Burnley
652,264,8,0,False,2026-02-22T14:00:00Z,1.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-322,168933,2773,3095,652,MID,Enso González Medina,Wolves
56,261,11,0,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1,45,0,1,56,MID,Enzo Barrenechea,Aston Villa
